epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2743,1.67239,4.45376,3.21642,0.00373,1,0.29332,0.14298,1.61714,4.19138,3.6847,0.00024442,0.00024442,0.00024442
2,88.0881,0.70804,3.24433,1.85619,0.87501,0.2,0.32473,0.1995,1.18456,3.65152,2.63349,0.000487576,0.000487576,0.000487576
3,131.394,0.43918,2.53826,1.4234,0.43676,0.64,0.38109,0.26419,1.18298,4.75561,2.80747,0.000718084,0.000718084,0.000718084
4,174.67,0.32828,2.36721,1.26534,0.27561,0.86271,0.34156,0.28838,0.65077,8.62256,1.16581,0.000935943,0.000935943,0.000935943
5,217.955,0.31316,2.2746,1.2334,0.36112,0.90667,0.44097,0.40616,0.506,6.63974,0.79777,0.00100101,0.00100101,0.00100101
6,261.522,0.23075,2.03762,1.17455,0.49619,0.71364,0.51771,0.49822,0.34335,3.23767,0.49821,0.000973514,0.000973514,0.000973514
7,340.289,0.1866,2.00698,1.14607,0.6482,0.64398,0.55333,0.51968,0.35676,2.3952,0.49739,0.000946016,0.000946016,0.000946016
8,412.104,0.16479,1.86021,1.1227,0.596,0.58491,0.59278,0.55856,0.36705,2.25439,0.50873,0.000918519,0.000918519,0.000918519
9,458.656,0.17762,1.71716,1.12717,0.54894,0.75159,0.59101,0.54532,0.40253,2.32093,0.53124,0.000891022,0.000891022,0.000891022
10,505.155,0.15514,1.59928,1.10574,0.74699,0.64748,0.74996,0.69422,0.40082,2.1816,0.55003,0.000863525,0.000863525,0.000863525
11,554.828,0.118,1.49633,1.09231,0.63282,0.77571,0.74982,0.69879,0.40643,2.35553,0.56338,0.000836027,0.000836027,0.000836027
12,601.774,0.11461,1.59267,1.08818,0.70968,0.68914,0.73455,0.67594,0.41346,2.54627,0.5822,0.00080853,0.00080853,0.00080853
13,647.814,0.10619,1.32382,1.08315,0.76479,0.75614,0.84106,0.77107,0.45733,2.24406,0.60946,0.000781033,0.000781033,0.000781033
14,697.051,0.09206,1.21188,1.08092,0.78709,0.72443,0.83931,0.76351,0.44467,2.18097,0.61004,0.000753536,0.000753536,0.000753536
15,743.577,0.09706,1.06914,1.0786,0.84336,0.76059,0.84057,0.77947,0.39936,1.86649,0.59192,0.000726038,0.000726038,0.000726038
16,786.143,0.0839,0.96039,1.07161,0.83913,0.78296,0.82316,0.76521,0.40697,1.86744,0.58782,0.000698541,0.000698541,0.000698541
17,830.934,0.07501,0.98134,1.06713,0.84202,0.77715,0.80092,0.74527,0.40832,1.82299,0.56275,0.000671044,0.000671044,0.000671044
18,878.294,0.07295,1.04718,1.06373,0.84876,0.78943,0.82506,0.76185,0.41532,1.85186,0.56452,0.000643547,0.000643547,0.000643547
19,924.086,0.06682,0.95793,1.06277,0.83397,0.81255,0.82782,0.76833,0.40342,1.87107,0.54366,0.000616049,0.000616049,0.000616049
20,970.936,0.05961,0.8332,1.06058,0.8517,0.79034,0.85016,0.78733,0.39648,1.91958,0.53507,0.000588552,0.000588552,0.000588552
21,1018.36,0.05915,0.84257,1.06053,0.87591,0.79694,0.86449,0.8051,0.38525,1.94915,0.5177,0.000561055,0.000561055,0.000561055
22,1067.1,0.0588,0.85402,1.05995,0.86886,0.80015,0.86851,0.80074,0.40864,2.06181,0.52463,0.000533558,0.000533558,0.000533558
23,1116.26,0.04986,0.79922,1.05787,0.81946,0.85231,0.84615,0.79264,0.37789,2.069,0.49379,0.00050606,0.00050606,0.00050606
24,1164.79,0.05101,0.75974,1.05767,0.82844,0.83308,0.82708,0.77784,0.37583,2.03729,0.48941,0.000478563,0.000478563,0.000478563
25,1213.42,0.0492,0.81582,1.05664,0.83394,0.82381,0.82143,0.77734,0.37546,1.98003,0.48542,0.000451066,0.000451066,0.000451066
26,1260.93,0.04748,0.72857,1.05622,0.84594,0.8185,0.82216,0.7705,0.37838,2.03754,0.48604,0.000423569,0.000423569,0.000423569
27,1309.09,0.04402,0.68582,1.05519,0.84971,0.81073,0.82398,0.76714,0.37507,2.11206,0.48111,0.000396071,0.000396071,0.000396071
28,1355.27,0.03852,0.67813,1.05423,0.83749,0.82366,0.83016,0.77672,0.36238,2.13774,0.46946,0.000368574,0.000368574,0.000368574
29,1411.06,0.03593,0.65004,1.05358,0.85617,0.78943,0.82404,0.76975,0.37679,2.10497,0.49402,0.000341077,0.000341077,0.000341077
30,1461.89,0.03504,0.63053,1.0533,0.85322,0.78805,0.81926,0.7729,0.3656,2.07851,0.48545,0.00031358,0.00031358,0.00031358
31,1511.2,0.03199,0.61103,1.05256,0.84905,0.79117,0.82844,0.7774,0.38057,2.0918,0.49006,0.000286083,0.000286083,0.000286083
32,1560.63,0.03059,0.60674,1.05221,0.84201,0.79454,0.82996,0.7801,0.37551,2.09049,0.48196,0.000258585,0.000258585,0.000258585
33,1609.59,0.02866,0.60654,1.05186,0.83435,0.79588,0.82702,0.7774,0.37416,2.15181,0.48069,0.000231088,0.000231088,0.000231088
34,1658.81,0.02687,0.60707,1.05131,0.83448,0.79767,0.82502,0.77375,0.37439,2.19241,0.47967,0.000203591,0.000203591,0.000203591
35,1709.87,0.0239,0.58983,1.05099,0.83495,0.79588,0.82406,0.77457,0.3721,2.202,0.47696,0.000176094,0.000176094,0.000176094
36,1762.82,0.02291,0.5693,1.05084,0.834,0.79833,0.8208,0.77174,0.37111,2.19859,0.47592,0.000148596,0.000148596,0.000148596
37,1812.73,0.02103,0.58526,1.05059,0.83421,0.79844,0.82026,0.77419,0.36962,2.18342,0.47409,0.000121099,0.000121099,0.000121099
38,1865.31,0.01914,0.56944,1.05039,0.8319,0.79588,0.81477,0.76792,0.35988,2.2275,0.46426,9.36017e-05,9.36017e-05,9.36017e-05
39,1916.18,0.01774,0.55525,1.05019,0.83534,0.80012,0.81529,0.76724,0.36584,2.22376,0.4703,6.61045e-05,6.61045e-05,6.61045e-05
40,1963.73,0.01626,0.54963,1.05007,0.83249,0.79588,0.81526,0.7664,0.3678,2.22725,0.47109,3.86073e-05,3.86073e-05,3.86073e-05
