epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.805594,2.35548,5.39076,2.54705,0.00333,1,0.11718,0.06029,1.20247,3.6491,2.64567,0,0,0
2,1.73891,1.86745,3.47055,3.56809,0.00333,1,0.08819,0.06077,1.15733,3.71228,2.60153,1.802e-05,1.802e-05,1.802e-05
3,2.89907,1.34071,3.54905,2.3319,0.00333,1,0.17931,0.12409,1.12264,3.5791,2.47282,3.208e-05,3.208e-05,3.208e-05
4,3.82169,1.7408,3.81972,3.28865,0.00333,1,0.23643,0.16851,1.21519,3.47019,2.57336,4.218e-05,4.218e-05,4.218e-05
5,4.70318,2.33626,3.58993,3.23339,0.00333,1,0.23643,0.16851,1.21519,3.47019,2.57336,4.832e-05,4.832e-05,4.832e-05
6,5.58295,1.63681,3.61801,2.65685,0.00333,1,0.57833,0.45438,1.12838,3.4604,2.50392,5.05e-05,5.05e-05,5.05e-05
7,6.40526,1.7119,3.16186,2.7728,0.00333,1,0.57833,0.45438,1.12838,3.4604,2.50392,4.872e-05,4.872e-05,4.872e-05
8,7.21649,1.32195,3.63658,2.08933,0.00333,1,0.62,0.52063,1.13278,3.38366,2.49826,4.298e-05,4.298e-05,4.298e-05
9,8.09372,2.09436,3.49421,2.99151,0.00333,1,0.62,0.52063,1.13278,3.38366,2.49826,3.328e-05,3.328e-05,3.328e-05
10,9.10489,1.20579,3.54055,2.00149,0.00333,1,0.60611,0.52336,1.11022,3.39985,2.4581,1.962e-05,1.962e-05,1.962e-05
